Code,Name,Earnings Data,52 week Range,Est_Q1,Est_Q2,Est_Q3,Est_Q4,Act_Q1,Act_Q2,Act_Q3,Act_Q4,CSV File Path
CPTA,Capitala Finance Corp.,Mar 6  2017 - Mar 10  ,11.25 - 15.80,0.47,0.47,0.46,0.39,0.47,0.47,0.47,0.43,../test/Nasdaq/CPTA/CPTA.csv,
ALTY,Global X SuperDividend Alternat,,,null,,
EMKR,EMCORE Corporation,May 3  2017 - May 8  ,4.90 - 10.50,0.04,0.04,0.06,0.12,0.02,0.02,0.1,0.13,../test/Nasdaq/EMKR/EMKR.csv,
INO,Inovio Pharmaceuticals  Inc.,Mar 13  2017 - Mar 17  ,5.85 - 11.69,-0.2,-0.14,-0.21,-0.27,-0.26,-0.11,-0.26,-0.28,../test/Nasdaq/INO/INO.csv,
ONTX,Onconova Therapeutics  Inc.,Mar 27  2017 - Mar 31  ,2.11 - 8.17,-3.23,-2.7,-1.9,-0.82,-2.6,1.8,-2.7,-0.29,../test/Nasdaq/ONTX/ONTX.csv,
ICFI,ICF International  Inc.,Mar 6  2017 - Mar 10  ,32.57 - 59.55,0.6,0.68,0.81,0.8,0.6,0.69,0.81,0.76,../test/Nasdaq/ICFI/ICFI.csv,
PI,Impinj  Inc.,,,null,,
CHSCN,CHS Inc,,,null,,
JNP,Juniper Pharmaceuticals  Inc.,Mar 8  2017 - Mar 13  ,4.30 - 8.00,-0.08,-0.08,-0.15,0.45,-0.15,-0.21,0.02,0.89,../test/Nasdaq/JNP/JNP.csv,
BNCL,Beneficial Bancorp  Inc.,Apr 20  2017 - Apr 24  ,14.05 - 19.00,0.06,0.04,0.11,0.12,0.07,0.11,0.13,0.1,../test/Nasdaq/BNCL/BNCL.csv,
FBSS,Fauquier Bankshares  Inc.,May 1  2017 - May 5  ,14.13 - 19.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FBSS/FBSS.csv,
PIZ,PowerShares DWA Developed Marke,,,null,,
RVLT,Revolution Lighting Technologie,Mar 8  2017 - Mar 13  ,5.16 - 7.61,0.2,-0.18,0.01,0.1,0.1,-0.16,-0.06,0.08,../test/Nasdaq/RVLT/RVLT.csv,
ELNK,EarthLink Holdings Corp.,Feb 21  2017 - Feb 25  ,4.85 - 7.05,-0.11,-0.08,-0.01,-0.01,-0.12,0.07,0.04,N/A,../test/Nasdaq/ELNK/ELNK.csv,
CDZI,Cadiz  Inc.,,,null,,
DXTR,Dextera Surgical Inc.,Feb 2  2017 - Feb 6  ,0.90 - 2.94,-0.48,-0.47,-0.48,-0.34,-0.34,-0.48,-0.44,-0.41,../test/Nasdaq/DXTR/DXTR.csv,
CALI,China Auto Logistics Inc.,,,null,,
LQDT,Liquidity Services  Inc.,May 3  2017 - May 8  ,4.94 - 11.49,-0.07,-0.09,-0.08,-0.29,0.04,0.07,-0.02,-0.22,../test/Nasdaq/LQDT/LQDT.csv,
MBSD,FlexShares Disciplined Duration,,,null,,
SWKS,Skyworks Solutions  Inc.,Apr 26  2017 - May 1  ,57.11 - 98.70,1.24,1.21,1.43,1.58,1.25,1.24,1.47,1.61,../test/Nasdaq/SWKS/SWKS.csv,
CORI,Corium International  Inc.,May 8  2017 - May 12  ,2.67 - 8.33,-0.37,-0.42,-0.39,-0.42,-0.47,-0.34,-0.42,-0.46,../test/Nasdaq/CORI/CORI.csv,
POWI,Power Integrations  Inc.,Apr 26  2017 - May 1  ,44.81 - 72.65,0.4,0.51,0.62,0.62,0.5,0.6,0.72,0.67,../test/Nasdaq/POWI/POWI.csv,
DLTR,Dollar Tree  Inc.,Feb 27  2017 - Mar 3  ,72.55 - 99.93,0.81,0.73,0.78,1.32,0.98,0.72,0.72,1.36,../test/Nasdaq/DLTR/DLTR.csv,
TAPR,Barclays PLC,,,null,,
DWIN,PowerShares DWA Tactical Multi-,,,null,,
CGNT,Cogentix Medical  Inc.,Mar 1  2017 - Mar 7  ,0.71 - 2.99,-0.07,-0.03,0.01,-0.04,-0.04,-0.04,-0.1,N/A,../test/Nasdaq/CGNT/CGNT.csv,
EKSO,EKSO BIONICS HOLDING,May 8  2017 - May 12  ,0.73 - 6.79,-0.28,-0.3,-0.34,-0.4,-0.44,-0.61,-0.6,-0.29,../test/Nasdaq/EKSO/EKSO.csv,
SGMS,Scientific Games Corp,Feb 23  2017 - Feb 27  ,7.90 - 23.05,-0.97,-0.81,-0.88,-0.92,-1.07,-0.59,-1.13,-1.26,../test/Nasdaq/SGMS/SGMS.csv,
INBKL,First Internet Bancorp,,,null,,
CEZ,VictoryShares Emerging Market V,,,null,,
CXDC,China XD Plastics Company Limit,Mar 13  2017 - Mar 17  ,2.80 - 5.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CXDC/CXDC.csv,
LVNTA,Liberty Interactive Corporation,,,null,,
RP,RealPage  Inc.,Feb 21  2017 - Feb 27  ,19.17 - 35.75,0.16,0.17,0.19,0.2,0.17,0.18,0.2,0.22,../test/Nasdaq/RP/RP.csv,
NUVA,NuVasive  Inc.,Apr 24  2017 - Apr 28  ,44.02 - 76.28,0.27,0.36,0.4,0.51,0.34,0.4,0.4,0.53,../test/Nasdaq/NUVA/NUVA.csv,
RICK,RCI Hospitality Holdings  Inc.,May 8  2017 - May 12  ,8.47 - 18.00,0.26,0.25,0.28,0.34,0.4,0.34,0.31,0.31,../test/Nasdaq/RICK/RICK.csv,
OPGNW,OpGen  Inc.,,,null,,
PUI,PowerShares DWA Utilities Momen,,,null,,
CHMA,Chiasma  Inc.,Mar 13  2017 - Mar 17  ,1.55 - 13.38,-0.53,-0.63,-0.63,-0.73,-0.61,-0.71,-1.1,-0.38,../test/Nasdaq/CHMA/CHMA.csv,
GTWN,Georgetown Bancorp  Inc.,Apr 24  2017 - Apr 28  ,19.20 - 26.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/GTWN/GTWN.csv,
QBAK,Qualstar Corporation,May 12  2016 - May 16  ,2.16 - 8.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/QBAK/QBAK.csv,
BMRC,Bank of Marin Bancorp,Apr 24  2017 - Apr 28  ,47.16 - 75.05,0.77,0.79,0.79,0.83,0.93,0.79,1.14,0.93,../test/Nasdaq/BMRC/BMRC.csv,
SCAC,Saban Capital Acquisition Corp.,,,null,,
EMMS,Emmis Communications Corporatio,May 3  2017 - May 8  ,1.92 - 4.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/EMMS/EMMS.csv,
HTLD,Heartland Express  Inc.,Apr 24  2017 - Apr 28  ,16.55 - 22.69,0.16,0.2,0.16,0.15,0.17,0.2,0.15,0.16,../test/Nasdaq/HTLD/HTLD.csv,
SBGI,Sinclair Broadcast Group  Inc.,May 3  2017 ,24.15 - 43.05,0.24,0.52,0.72,1.36,0.25,0.52,0.54,1.32,../test/Nasdaq/SBGI/SBGI.csv,
ALDX,Aldeyra Therapeutics  Inc.,,,null,,
RCMT,RCM Technologies  Inc.,Feb 27  2017 - Mar 3  ,5.02 - 7.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/RCMT/RCMT.csv,
AVHI,A V Homes  Inc.,Feb 23  2017 - Feb 27  ,9.93 - 19.13,0.05,0.18,0.35,0.38,0.03,0.27,0.45,0.68,../test/Nasdaq/AVHI/AVHI.csv,
LECO,Lincoln Electric Holdings  Inc.,Apr 17  2017 - Apr 21  ,55.91 - 87.73,0.68,0.83,0.82,0.81,0.76,0.83,0.89,0.81,../test/Nasdaq/LECO/LECO.csv,
URBN,Urban Outfitters  Inc.,Mar 6  2017 - Mar 10  ,22.87 - 40.80,0.25,0.56,0.44,0.56,0.25,0.66,0.4,0.55,../test/Nasdaq/URBN/URBN.csv,
APEN,Apollo Endosurgery  Inc.,,,null,,
BANX,StoneCastle Financial Corp,Apr 29  2016 - May 2  ,15.95 - 20.50,0.4,0.41,0.41,0.41,-0.18,0.49,0.45,0.39,../test/Nasdaq/BANX/BANX.csv,
SNES,SenesTech  Inc.,,,null,,
BBP,BioShares Biotechnology Product,,,null,,
MTLS,Materialise NV,Feb 28  2017 - Mar 6  ,6.07 - 9.50,-0.02,-0.01,N/A,0.01,-0.07,-0.01,N/A,0.01,../test/Nasdaq/MTLS/MTLS.csv,
LCAHU,Landcadia Holdings  Inc.,,,null,,
SAVE,Spirit Airlines  Inc.,Apr 24  2017 - Apr 28  ,37.17 - 60.40,0.96,1.08,1.17,0.74,1.01,1.11,1.24,0.77,../test/Nasdaq/SAVE/SAVE.csv,
CGIX,Cancer Genetics  Inc.,Mar 8  2017 - Mar 13  ,1.10 - 3.35,-0.46,-0.43,-0.33,-0.28,-0.47,-0.39,-0.28,-0.23,../test/Nasdaq/CGIX/CGIX.csv,
PROV,Provident Financial Holdings  I,Apr 24  2017 - Apr 28  ,16.81 - 20.66,0.19,0.23,0.26,0.32,0.18,0.34,0.2,0.18,../test/Nasdaq/PROV/PROV.csv,
PBIP,Prudential Bancorp  Inc.,May 4  2017 - May 8  ,13.80 - 17.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/PBIP/PBIP.csv,
LPLA,LPL Financial Holdings Inc.,Apr 26  2017 - May 1  ,20.51 - 42.86,0.44,0.44,0.38,0.36,0.56,0.53,0.58,0.46,../test/Nasdaq/LPLA/LPLA.csv,
MDVXW,Medovex Corp.,,,null,,
PSL,PowerShares DWA Consumer Staple,,,null,,
DGLD,Credit Suisse AG,,,null,,
MATR,Mattersight Corporation,May 2  2017 - May 8  ,3.00 - 4.65,-0.15,-0.21,-0.2,-0.15,-0.24,-0.25,-0.24,-0.13,../test/Nasdaq/MATR/MATR.csv,
JD,JD.com  Inc.,Feb 27  2017 - Mar 3  ,19.51 - 32.47,-0.02,-0.03,-0.06,-0.06,-0.02,0.04,0.03,0.06,../test/Nasdaq/JD/JD.csv,
CDTX,Cidara Therapeutics  Inc.,Mar 16  2017 - Mar 20  ,6.65 - 15.91,-0.7,-0.74,-0.76,-0.88,-0.72,-0.71,-0.85,-0.88,../test/Nasdaq/CDTX/CDTX.csv,
ROSG,Rosetta Genomics Ltd.,May 17  2017 - May 24  ,0.41 - 1.55,-0.2,-0.16,-0.17,-0.17,-0.14,-0.2,-0.16,-0.19,../test/Nasdaq/ROSG/ROSG.csv,
NUTR,Nutraceutical International Cor,Apr 26  2017 - May 1  ,22.03 - 37.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/NUTR/NUTR.csv,
OBCI,Ocean Bio-Chem  Inc.,Mar 29  2017 - Apr 3  ,2.02 - 4.92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/OBCI/OBCI.csv,
SIGI,Selective Insurance Group  Inc.,May 2  2017 - May 8  ,33.60 - 47.40,0.58,0.59,0.7,0.62,0.66,0.72,0.62,0.75,../test/Nasdaq/SIGI/SIGI.csv,
APPF,AppFolio  Inc.,Feb 20  2017 - Feb 24  ,11.48 - 26.00,-0.1,-0.09,-0.08,-0.07,-0.09,-0.03,N/A,0.01,../test/Nasdaq/APPF/APPF.csv,
QUMU,Qumu Corporation,Mar 7  2017 - Mar 13  ,1.80 - 5.50,-0.5,-0.4,-0.39,-0.09,-0.45,-0.46,-0.27,-0.04,../test/Nasdaq/QUMU/QUMU.csv,
CART,Carolina Trust BancShares  Inc.,Oct 20  2016 - Oct 21  ,5.60 - 12.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/CART/CART.csv,
CPAH,CounterPath Corporation,,,null,,
FTXL,First Trust Nasdaq Semiconducto,,,null,,
FMB,First Trust Managed Municipal E,,,null,,
MTCH,Match Group  Inc.,May 1  2017 - May 5  ,10.06 - 19.74,0.08,0.16,0.19,0.24,0.11,0.17,0.23,0.29,../test/Nasdaq/MTCH/MTCH.csv,
ASMB,Assembly Biosciences  Inc.,,,null,,
TAST,Carrols Restaurant Group  Inc.,Mar 1  2017 - Mar 6  ,9.60 - 17.55,-0.07,0.21,0.19,0.11,0.05,0.25,0.13,0.04,../test/Nasdaq/TAST/TAST.csv,
UGLD,Credit Suisse AG,,,null,,
FTHI,First Trust High Income ETF,,,null,,
NTLA,Intellia Therapeutics  Inc.,,,null,,
CPLA,Capella Education Company,Apr 24  2017 - Apr 28  ,48.80 - 90.40,0.81,0.86,0.62,0.95,0.86,0.93,0.81,0.97,../test/Nasdaq/CPLA/CPLA.csv,
GMAN,Gordmans Stores  Inc.,Mar 16  2017 - Mar 20  ,0.10 - 2.81,0.06,-0.1,-0.27,-0.27,0.06,-0.08,-0.28,-0.25,../test/Nasdaq/GMAN/GMAN.csv,
KERX,Keryx Biopharmaceuticals  Inc.,Feb 23  2017 - Feb 27  ,3.99 - 7.80,-0.26,-0.28,-0.2,-0.25,-0.39,-0.42,-0.39,-0.32,../test/Nasdaq/KERX/KERX.csv,
MESO,Mesoblast Limited,,,null,,
NCLH,Norwegian Cruise Line Holdings,Feb 21  2017 - Feb 27  ,34.16 - 55.59,0.38,0.83,1.59,0.55,0.38,0.85,1.62,0.56,../test/Nasdaq/NCLH/NCLH.csv,
SLMAP,SLM Corporation,,,null,,
FOGO,Fogo de Chao  Inc.,Mar 13  2017 - Mar 17  ,10.50 - 17.89,0.28,0.23,0.25,0.15,0.29,0.21,0.22,0.16,../test/Nasdaq/FOGO/FOGO.csv,
NTGR,NETGEAR  Inc.,Apr 25  2017 - May 1  ,38.25 - 60.82,0.6,0.6,0.71,0.77,0.74,0.72,0.76,0.88,../test/Nasdaq/NTGR/NTGR.csv,
OBLN,Obalon Therapeutics  Inc.,,,null,,
HWCC,Houston Wire Cable Company,Mar 8  2017 - Mar 13  ,5.10 - 8.05,0.05,0.04,0.01,-0.03,0.03,-0.01,-0.04,-0.09,../test/Nasdaq/HWCC/HWCC.csv,
HNRG,Hallador Energy Company,Mar 9  2017 - Mar 13  ,5.95 - 10.40,0.18,0.08,-0.02,0.1,0.02,0.21,0.19,0.14,../test/Nasdaq/HNRG/HNRG.csv,
NATH,Nathan s Famous  Inc.,Feb 3  2017 - Feb 7  ,40.04 - 66.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/NATH/NATH.csv,
CTXS,Citrix Systems  Inc.,Apr 18  2017 - Apr 24  ,59.72 - 81.10,0.92,1.14,1.19,1.5,1.18,1.2,1.32,1.61,../test/Nasdaq/CTXS/CTXS.csv,
CELG,Celgene Corporation,Apr 26  2017 - May 1  ,94.39 - 127.00,1.28,1.39,1.48,1.59,1.32,1.44,1.58,1.61,../test/Nasdaq/CELG/CELG.csv,
MNDO,MIND C.T.I. Ltd.,Feb 22  2017 - Feb 27  ,1.96 - 2.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/MNDO/MNDO.csv,
NVCN,Neovasc Inc.,,,null,,
FNCX,Function(x) Inc.,,,null,,
ACAD,ACADIA Pharmaceuticals Inc.,Feb 27  2017 - Mar 3  ,18.40 - 42.49,-0.42,-0.49,-0.56,-0.65,-0.45,-0.63,-0.61,-0.65,../test/Nasdaq/ACAD/ACAD.csv,
SVVC,Firsthand Technology Value Fund,,,null,,
TBK,Triumph Bancorp  Inc.,Apr 25  2017 - May 1  ,14.40 - 27.95,0.24,0.25,0.33,0.39,0.27,0.25,0.32,0.33,../test/Nasdaq/TBK/TBK.csv,
INCR,INC Research Holdings  Inc.,Feb 23  2017 - Feb 27  ,36.70 - 57.11,0.52,0.58,0.63,0.67,0.58,0.61,0.64,0.67,../test/Nasdaq/INCR/INCR.csv,
PEIX,Pacific Ethanol  Inc.,Mar 7  2017 - Mar 13  ,3.67 - 10.95,-0.13,-0.03,0.11,0.21,-0.32,0.11,-0.09,0.31,../test/Nasdaq/PEIX/PEIX.csv,
PGJ,PowerShares Golden Dragon China,,,null,,
REFR,Research Frontiers Incorporated,Mar 8  2017 - Mar 13  ,1.51 - 5.03,-0.02,-0.05,-0.03,-0.04,-0.08,-0.05,-0.05,-0.02,../test/Nasdaq/REFR/REFR.csv,
PRAN,Prana Biotechnology Ltd,,,null,,
SYNC,Synacor  Inc.,Mar 14  2017 - Mar 20  ,1.33 - 3.98,-0.03,-0.09,-0.1,-0.19,-0.01,-0.05,-0.09,-0.11,../test/Nasdaq/SYNC/SYNC.csv,
TROW,T. Rowe Price Group  Inc.,Apr 24  2017 - Apr 28  ,62.97 - 79.00,1.03,0.73,1.18,1.43,1.15,0.76,1.28,1.5,../test/Nasdaq/TROW/TROW.csv,
USLM,United States Lime Minerals ,Apr 25  2017 - May 1  ,50.75 - 79.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/USLM/USLM.csv,
LION,Fidelity Southern Corporation,Apr 19  2017 - Apr 24  ,14.45 - 24.95,0.35,0.45,0.49,0.41,0.18,0.26,0.48,0.57,../test/Nasdaq/LION/LION.csv,
DGRS,WisdomTree U.S. SmallCap Qualit,,,null,,
PSCD,PowerShares S P SmallCap Consum,,,null,,
UFPT,UFP Technologies  Inc.,Feb 27  2017 - Mar 3  ,20.40 - 27.50,0.29,0.19,0.48,0.23,0.15,0.38,0.37,0.2,../test/Nasdaq/UFPT/UFPT.csv,
EMCG,WisdomTree Emerging Markets Con,,,null,,
OMEX,Odyssey Marine Exploration  Inc,Mar 15  2017 - Mar 20  ,1.85 - 9.36,-0.84,-0.6,-0.72,-0.62,-0.84,-0.6,0.33,0.01,../test/Nasdaq/OMEX/OMEX.csv,
OBSV,ObsEva SA,,,null,,
AQB,AquaBounty Technologies  Inc.,,,null,,
RRR,Red Rock Resorts  Inc.,,,null,,
CFRX,ContraFect Corporation,Mar 13  2017 - Mar 17  ,1.35 - 4.12,-0.23,-0.25,-0.27,-0.21,-0.28,-0.32,-0.35,-0.28,../test/Nasdaq/CFRX/CFRX.csv,
NFBK,Northfield Bancorp  Inc.,Apr 25  2017 - May 1  ,14.31 - 20.59,0.13,0.13,0.15,0.16,0.08,0.15,0.16,0.18,../test/Nasdaq/NFBK/NFBK.csv,
LIVE,Live Ventures Incorporated,May 15  2017 - May 19  ,1.33 - 32.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/LIVE/LIVE.csv,
AGFSW,AgroFresh Solutions  Inc.,,,null,,
APTO,Aptose Biosciences  Inc.,,,null,,
TANNI,TravelCenters of America LLC,,,null,,
STDY,SteadyMed Ltd.,Mar 27  2017 - Mar 31  ,2.25 - 5.21,-0.45,-0.48,-0.52,-0.51,-0.43,-0.46,-0.53,-0.57,../test/Nasdaq/STDY/STDY.csv,
ERS,Empire Resources  Inc.,Mar 28  2017 - Apr 3  ,3.02 - 7.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ERS/ERS.csv,
USAK,USA Truck  Inc.,May 3  2017 - May 8  ,6.85 - 21.46,0.1,0.19,0.09,0.04,0.15,-0.1,-0.09,-0.24,../test/Nasdaq/USAK/USAK.csv,
MGNX,MacroGenics  Inc.,Feb 27  2017 - Mar 3  ,14.90 - 33.30,-0.67,-0.02,-0.8,-0.89,-0.88,1.12,-0.97,-1,../test/Nasdaq/MGNX/MGNX.csv,
NKTR,Nektar Therapeutics,Feb 27  2017 - Mar 3  ,11.41 - 19.98,-0.23,-0.33,-0.35,-0.26,-0.14,-0.36,-0.32,-0.28,../test/Nasdaq/NKTR/NKTR.csv,
KTWO,K2M Group Holdings  Inc.,Mar 1  2017 - Mar 6  ,10.10 - 23.10,-0.23,-0.28,-0.3,-0.27,-0.25,-0.27,-0.19,-0.3,../test/Nasdaq/KTWO/KTWO.csv,
MGCD,MGC Diagnostics Corporation,Mar 6  2017 - Mar 10  ,5.20 - 10.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/MGCD/MGCD.csv,
ASFI,Asta Funding  Inc.,May 8  2017 - May 12  ,7.81 - 11.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ASFI/ASFI.csv,
ABDC,Alcentra Capital Corp.,,,null,,
JMU,JMU Limited,,,null,,
ONVO,Organovo Holdings  Inc.,Feb 6  2017 - Feb 10  ,2.00 - 4.99,-0.11,-0.1,-0.11,-0.1,-0.09,-0.09,-0.1,-0.09,../test/Nasdaq/ONVO/ONVO.csv,
UBCP,United Bancorp  Inc.,Apr 26  2017 - May 1  ,8.72 - 15.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/UBCP/UBCP.csv,
HMNF,HMN Financial  Inc.,Apr 20  2017 - Apr 24  ,11.13 - 18.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/HMNF/HMNF.csv,
FFBCW,First Financial Bancorp.,,,null,,
HCAPL,Harvest Capital Credit Corporat,,,null,,
HRMN,Harmony Merger Corp.,,,null,,
PSIX,Power Solutions International ,Nov 10  2016 - Nov 11  ,2.76 - 14.91,0.19,0.21,-0.03,-0.45,0.19,0.04,-0.01,-0.6,../test/Nasdaq/PSIX/PSIX.csv,
ICCC,ImmuCell Corporation,May 9  2017 - May 15  ,4.76 - 8.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/ICCC/ICCC.csv,
REXX,Rex Energy Corporation,Mar 13  2017 - Mar 17  ,0.23 - 1.95,-0.37,-0.14,-0.16,-0.09,-0.27,-0.07,-0.14,-0.08,../test/Nasdaq/REXX/REXX.csv,
TUTT,Tuttle Tactical Management U.S.,,,null,,
IRCP,IRSA Propiedades Comerciales S.,,,null,,
EBIX,Ebix  Inc.,Feb 27  2017 - Mar 3  ,36.20 - 65.10,0.58,0.63,0.63,0.65,0.67,0.7,0.74,0.76,../test/Nasdaq/EBIX/EBIX.csv,
LSBK,Lake Shore Bancorp  Inc.,Apr 25  2017 - May 1  ,12.97 - 16.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/LSBK/LSBK.csv,
CYTK,Cytokinetics  Incorporated,Apr 26  2017 - May 1  ,6.00 - 13.45,-0.34,-0.31,-0.29,-0.27,-0.31,-0.29,0.74,0.16,../test/Nasdaq/CYTK/CYTK.csv,
MYL,Mylan N.V.,Feb 8  2017 - Feb 13  ,33.60 - 50.40,0.74,1.13,1.45,1.42,0.76,1.16,1.38,1.57,../test/Nasdaq/MYL/MYL.csv,
GBLI,Global Indemnity Limited,Feb 27  2017 - Mar 3  ,20.96 - 40.96,0.4,0.1,0.05,0.26,0.69,-0.17,0.44,1.05,../test/Nasdaq/GBLI/GBLI.csv,
NAVI,Navient Corporation,Apr 17  2017 - Apr 21  ,11.01 - 17.95,0.41,0.44,0.48,0.44,0.43,0.47,0.5,0.43,../test/Nasdaq/NAVI/NAVI.csv,
RVNC,Revance Therapeutics  Inc.,Feb 28  2017 - Mar 6  ,12.35 - 24.30,-0.83,-0.86,-0.89,-0.84,-0.71,-0.88,-0.64,-0.95,../test/Nasdaq/RVNC/RVNC.csv,
TWOU,2U  Inc.,Feb 23  2017 - Feb 27  ,20.70 - 38.91,-0.04,-0.12,-0.09,0.03,N/A,-0.09,-0.06,0.04,../test/Nasdaq/TWOU/TWOU.csv,
CGNX,Cognex Corporation,May 1  2017 - May 6  ,35.15 - 81.14,0.11,0.43,0.46,0.29,0.17,0.5,0.61,0.43,../test/Nasdaq/CGNX/CGNX.csv,
OLLI,Ollie s Bargain Outlet Holdings,Apr 4  2017 - Apr 10  ,20.89 - 33.45,0.28,0.17,0.18,0.14,0.31,0.2,0.21,0.17,../test/Nasdaq/OLLI/OLLI.csv,
MORN,Morningstar  Inc.,Apr 21  2017 ,67.74 - 89.44,0.73,0.73,0.77,0.77,0.67,0.73,0.7,2.32,../test/Nasdaq/MORN/MORN.csv,
ACBI,Atlantic Capital Bancshares  In,Apr 27  2017 - May 1  ,12.63 - 20.20,0.14,0.16,0.17,0.17,0.14,0.15,0.16,0.09,../test/Nasdaq/ACBI/ACBI.csv,
FGBI,FIRST GUARANTY BANC,May 15  2017 - May 19  ,14.95 - 25.91,0.4,0.41,0.38,0.4,0.41,0.58,0.44,0.42,../test/Nasdaq/FGBI/FGBI.csv,
BKSC,Bank of South Carolina Corp.,Apr 10  2017 - Apr 17  ,15.30 - 23.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/BKSC/BKSC.csv,
CAPX,Elkhorn S P 500 Capital Expendi,,,null,,
CNV,Cnova N.V.,Feb 22  2017 - Feb 27  ,2.15 - 5.50,-0.08,-0.05,-0.07,-0.02,-0.12,-0.18,-0.02,-0.04,../test/Nasdaq/CNV/CNV.csv,
BWLD,Buffalo Wild Wings  Inc.,Apr 24  2017 - Apr 28  ,122.25 - 175.10,1.77,1.25,1.23,1.27,1.73,1.27,1.23,0.87,../test/Nasdaq/BWLD/BWLD.csv,
DOX,Amdocs Limited,May 2  2017 - May 8  ,54.12 - 61.98,0.87,0.87,0.89,0.9,0.92,0.9,0.89,0.9,../test/Nasdaq/DOX/DOX.csv,
DENN,Denny s Corporation,May 1  2017 - May 5  ,9.59 - 14.25,0.11,0.13,0.13,0.13,0.12,0.13,0.13,0.17,../test/Nasdaq/DENN/DENN.csv,
DTUL,Barclays PLC,,,null,,
COKE,Coca-Cola Bottling Co. Consolid,Nov 1  2016 - Nov 7  ,119.80 - 183.98,0.73,1.11,2.75,2.28,0.75,0.67,2.03,2.45,../test/Nasdaq/COKE/COKE.csv,
PRSC,The Providence Service Corporat,Mar 8  2017 - Mar 13  ,34.89 - 55.28,0.28,0.4,0.65,0.45,0.48,0.48,0.7,0.35,../test/Nasdaq/PRSC/PRSC.csv,
CASI,CASI Pharmaceuticals  Inc.,Mar 27  2017 - Mar 31  ,0.79 - 1.76,-0.03,-0.05,-0.04,-0.08,-0.05,-0.04,-0.08,-0.03,../test/Nasdaq/CASI/CASI.csv,
RETA,Reata Pharmaceuticals  Inc.,,,null,,
CLFD,Clearfield  Inc.,Apr 26  2017 - May 1  ,14.10 - 21.60,0.03,0.11,0.12,0.09,0.11,0.16,0.16,0.06,../test/Nasdaq/CLFD/CLFD.csv,
OGXI,OncoGenex Pharmaceuticals Inc.,Mar 7  2017 - Mar 13  ,0.33 - 1.42,-0.15,-0.12,-0.22,-0.26,-0.06,-0.12,-0.23,-0.16,../test/Nasdaq/OGXI/OGXI.csv,
SMCP,AlphaMark Actively Managed Smal,,,null,,
SHEN,Shenandoah Telecommunications C,Feb 24  2017 - Feb 28  ,22.05 - 42.66,0.21,0.24,0.25,0.14,0.24,0.28,-0.14,-0.16,../test/Nasdaq/SHEN/SHEN.csv,
FLAG,WeatherStorm Forensic Accountin,,,null,,
EVOK,Evoke Pharma  Inc.,Mar 8  2017 - Mar 13  ,1.35 - 11.11,-0.45,-0.41,-0.43,-0.26,-0.37,-0.45,-0.41,-0.29,../test/Nasdaq/EVOK/EVOK.csv,
CVGW,Calavo Growers  Inc.,Mar 6  2017 - Mar 10  ,48.75 - 71.48,0.49,0.61,0.48,0.44,0.56,0.73,0.53,0.34,../test/Nasdaq/CVGW/CVGW.csv,
GLBZ,Glen Burnie Bancorp,Feb 23  2017 - Feb 27  ,9.86 - 12.55,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/GLBZ/GLBZ.csv,
CGEN,Compugen Ltd.,,,null,,
JXSB,Jacksonville Bancorp Inc.,Apr 6  2017 - Apr 10  ,25.00 - 37.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/JXSB/JXSB.csv,
